Data,Suspeitos,Confirmados,Mortes
25/02,0,1,0
26/02,20,1,0
27/02,132,1,0
28/02,182,1,0
29/02,207,2,0
01/03,252,2,0
02/03,433,2,0
03/03,488,2,0
04/03,530,3,0
05/03,635,8,0
06/03,768,13,0
07/03,674,19,0
08/03,663,25,0
09/03,930,30,0
10/03,893,34,0
11/03,907,52,0
12/03,1427,77,0
13/03,1485,107,0
14/03,1496,121,0
15/03,1913,200,0
16/03,2064,234,0
17/03,8819,291,1
18/03,11278,428,4
19/03,,621,6
20/03,,904,11
21/03,,1128,18
22/03,,1546,25
23/03,,1891,34
24/03,,2201,46
25/03,,2433,59
26/03,,2915,77
27/03,,3417,92
28/03,,3904,111
29/03,,4256,136
30/03,,4579,159
31/03,,5717,201
01/04,,6836,241
02/04,,7910,299